epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.02273706905543804,0.0010000000474974513,4.785980224609375,0.04783950746059418,4.63994026184082
1,0.05614224076271057,0.0010000000474974513,4.582257270812988,0.11959876865148544,4.239475727081299
2,0.12596982717514038,0.0010000000474974513,4.249366760253906,0.17206789553165436,3.9242773056030273
3,0.1780172437429428,0.0010000000474974513,3.924762487411499,0.24074074625968933,3.6244332790374756
4,0.2356681078672409,0.0010000000474974513,3.6526551246643066,0.3163580298423767,3.266709804534912
5,0.27349138259887695,0.0010000000474974513,3.456331729888916,0.354938268661499,3.126650094985962
6,0.314870685338974,0.0010000000474974513,3.28554105758667,0.3996913433074951,2.9486751556396484
7,0.3615301847457886,0.0010000000474974513,3.1160106658935547,0.457561731338501,2.715442419052124
8,0.38631466031074524,0.0010000000474974513,2.9739015102386475,0.47685185074806213,2.652984142303467
9,0.42478448152542114,0.0010000000474974513,2.8560943603515625,0.4513888955116272,2.8234519958496094
10,0.43717673420906067,0.0010000000474974513,2.7701942920684814,0.5432098507881165,2.4324166774749756
11,0.4648706912994385,0.0010000000474974513,2.6983084678649902,0.5393518805503845,2.4009125232696533
12,0.4804956912994385,0.0010000000474974513,2.618906259536743,0.5817901492118835,2.307203531265259
13,0.4940732717514038,0.0010000000474974513,2.5800869464874268,0.5648148059844971,2.345532178878784
14,0.5150862336158752,0.0010000000474974513,2.524620532989502,0.5964506268501282,2.198307752609253
15,0.5209051966667175,0.0010000000474974513,2.473858594894409,0.5941358208656311,2.192864418029785
16,0.5300646424293518,0.0010000000474974513,2.4418094158172607,0.5702160596847534,2.3274152278900146
17,0.5448275804519653,0.0010000000474974513,2.3965280055999756,0.6141975522041321,2.2344141006469727
18,0.5838361978530884,0.0005000000237487257,2.232070207595825,0.6527777910232544,2.0249032974243164
19,0.596875011920929,0.0005000000237487257,2.1548948287963867,0.6574074029922485,2.016301155090332
20,0.606357753276825,0.0005000000237487257,2.1069743633270264,0.6597222089767456,2.024625539779663
21,0.6173491477966309,0.0005000000237487257,2.073390245437622,0.6689814925193787,1.9270503520965576
22,0.6240301728248596,0.0005000000237487257,2.027681827545166,0.6736111044883728,1.898016095161438
23,0.6325430870056152,0.0005000000237487257,1.999749779701233,0.6697530746459961,1.9017646312713623
24,0.632758617401123,0.0005000000237487257,1.9733229875564575,0.6782407164573669,1.8969885110855103
25,0.6384698152542114,0.0005000000237487257,1.9619035720825195,0.6875,1.8345293998718262
26,0.6435344815254211,0.0005000000237487257,1.9374359846115112,0.6844135522842407,1.8502006530761719
27,0.6648706793785095,0.0005000000237487257,1.8961604833602905,0.6975308656692505,1.8187730312347412
28,0.6565732955932617,0.0005000000237487257,1.8997825384140015,0.6967592835426331,1.807281494140625
29,0.6682112216949463,0.0005000000237487257,1.8629112243652344,0.6766975522041321,1.888439416885376
30,0.665517270565033,0.0005000000237487257,1.8531293869018555,0.7129629850387573,1.7891333103179932
31,0.6661638021469116,0.0005000000237487257,1.8444279432296753,0.6905864477157593,1.828517198562622
32,0.6712284684181213,0.0005000000237487257,1.8334417343139648,0.6929012537002563,1.8437162637710571
33,0.6982758641242981,0.0002500000118743628,1.7324858903884888,0.7199074029922485,1.7125215530395508
34,0.7043103575706482,0.0002500000118743628,1.7058525085449219,0.7183641791343689,1.7395282983779907
